,AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,NC,NE,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI
2010-10-31,561.0,665.0,4250.0,19792.0,2780.0,2696.0,11475.0,3524.0,537.0,444.0,645.0,4233.0,1363.0,81.0,820.0,865.0,3224.0,1594.0,3411.0,2119.0,3089.0,2815.0,551.0,483.0,1808.0,9577.0,2918.0,1392.0,1286.0,5371.0,864.0,1286.0,2433.0,6652.0,1316.0,4901.0,1965.0,990.0
2010-11-30,611.0,631.0,4331.0,19038.0,2604.0,2695.0,11390.0,3189.0,499.0,445.0,659.0,3884.0,1234.0,83.0,778.0,730.0,3214.0,1619.0,3243.0,2071.0,3024.0,2661.0,452.0,478.0,1862.0,9275.0,2777.0,1282.0,1274.0,5070.0,820.0,1191.0,2338.0,6281.0,1320.0,4998.0,1837.0,962.0
2010-12-31,666.0,635.0,5097.0,21842.0,2775.0,2971.0,14088.0,3577.0,680.0,459.0,715.0,4242.0,1340.0,96.0,819.0,884.0,3804.0,1668.0,3225.0,2025.0,3158.0,3162.0,467.0,524.0,1963.0,9562.0,2935.0,1433.0,1388.0,5607.0,896.0,1316.0,2394.0,6842.0,1434.0,5242.0,2182.0,957.0
2011-01-31,545.0,479.0,4292.0,16062.0,1876.0,2026.0,10901.0,2596.0,438.0,294.0,503.0,3219.0,937.0,49.0,572.0,711.0,2571.0,1341.0,2657.0,1659.0,2269.0,2265.0,361.0,368.0,1557.0,8331.0,2133.0,1119.0,1019.0,4067.0,621.0,914.0,1718.0,4956.0,1037.0,3956.0,1465.0,813.0
2011-02-28,613.0,517.0,4805.0,16000.0,1936.0,1815.0,12021.0,2882.0,441.0,323.0,613.0,2957.0,950.0,68.0,609.0,730.0,2016.0,1128.0,2467.0,1596.0,2269.0,2282.0,362.0,414.0,1604.0,7659.0,2034.0,1092.0,991.0,3663.0,545.0,895.0,1910.0,5403.0,1101.0,3805.0,1429.0,712.0
2011-03-31,820.0,763.0,6580.0,22481.0,2995.0,2454.0,16517.0,4266.0,530.0,447.0,807.0,4310.0,1434.0,124.0,824.0,1017.0,3101.0,1474.0,3309.0,2238.0,3315.0,3438.0,524.0,580.0,2130.0,9061.0,2971.0,1530.0,1452.0,5195.0,774.0,1471.0,2546.0,7856.0,1585.0,5348.0,2171.0,1095.0
2011-04-30,769.0,764.0,6644.0,22166.0,3281.0,2790.0,16870.0,4151.0,524.0,538.0,822.0,4573.0,1653.0,105.0,915.0,992.0,3501.0,1634.0,3432.0,2531.0,3669.0,3714.0,645.0,541.0,1943.0,9169.0,3150.0,1616.0,1512.0,5500.0,883.0,1370.0,2667.0,8267.0,1640.0,5591.0,2239.0,1270.0
2011-05-31,781.0,843.0,6816.0,22553.0,3673.0,3332.0,16509.0,4616.0,529.0,580.0,827.0,5518.0,1864.0,95.0,907.0,1196.0,4233.0,1850.0,3617.0,2902.0,4154.0,3925.0,714.0,625.0,2091.0,10045.0,3608.0,1701.0,1657.0,6335.0,993.0,1573.0,3111.0,9194.0,1742.0,6249.0,2371.0,1491.0
2011-06-30,966.0,928.0,7265.0,25153.0,4119.0,4589.0,16988.0,5197.0,665.0,723.0,902.0,6616.0,2024.0,133.0,1101.0,1300.0,5824.0,2287.0,4324.0,3332.0,4581.0,4532.0,789.0,673.0,2276.0,12214.0,4247.0,2008.0,1905.0,7614.0,1163.0,1709.0,3419.0,10270.0,1907.0,7412.0,2802.0,1839.0
2011-07-31,919.0,906.0,6038.0,22435.0,3818.0,3369.0,14799.0,4811.0,572.0,643.0,818.0,5840.0,1966.0,130.0,1003.0,1193.0,4883.0,1890.0,4282.0,3118.0,3912.0,3919.0,741.0,631.0,1841.0,12343.0,4003.0,1991.0,1789.0,6717.0,1058.0,1504.0,3138.0,9098.0,1758.0,6416.0,2580.0,1646.0
2011-08-31,969.0,975.0,6195.0,24285.0,4039.0,3695.0,16042.0,4474.0,618.0,624.0,842.0,6363.0,2008.0,138.0,1069.0,1232.0,5407.0,1972.0,4778.0,3589.0,4488.0,4221.0,747.0,638.0,2259.0,13021.0,4402.0,2111.0,1949.0,7248.0,1059.0,1718.0,3329.0,9802.0,1890.0,6379.0,2849.0,1627.0
2011-09-30,886.0,866.0,5841.0,22541.0,3437.0,3080.0,14576.0,3975.0,617.0,646.0,770.0,5228.0,1686.0,111.0,933.0,1098.0,4154.0,1850.0,4349.0,3144.0,3951.0,3794.0,692.0,507.0,1969.0,11414.0,3817.0,1950.0,1739.0,6004.0,1004.0,1480.0,2966.0,8076.0,1670.0,5469.0,2501.0,1373.0
2011-10-31,905.0,781.0,5607.0,20765.0,3140.0,2631.0,13682.0,3652.0,539.0,575.0,742.0,4939.0,1492.0,93.0,852.0,1016.0,3573.0,1692.0,3879.0,3114.0,3476.0,3261.0,613.0,568.0,1946.0,10095.0,3335.0,1726.0,1660.0,5630.0,889.0,1326.0,2617.0,7137.0,1691.0,4922.0,2309.0,1142.0
2011-11-30,842.0,755.0,5800.0,21092.0,2874.0,2714.0,13538.0,3398.0,671.0,481.0,688.0,4794.0,1382.0,96.0,866.0,863.0,3765.0,1639.0,3760.0,2762.0,3340.0,2996.0,619.0,490.0,2053.0,9085.0,3191.0,1628.0,1644.0,5558.0,913.0,1283.0,2562.0,6897.0,1555.0,4925.0,2304.0,1112.0
2011-12-31,894.0,803.0,6252.0,23122.0,2831.0,2789.0,15687.0,3712.0,564.0,568.0,689.0,5214.0,1464.0,115.0,860.0,892.0,3962.0,1726.0,3519.0,2750.0,3454.0,3301.0,618.0,526.0,2288.0,10143.0,3279.0,1735.0,1643.0,5701.0,1028.0,1427.0,2667.0,7342.0,1659.0,5195.0,2310.0,1076.0
2012-01-31,728.0,652.0,5372.0,17858.0,2140.0,1973.0,12590.0,3040.0,439.0,371.0,564.0,3936.0,1113.0,71.0,680.0,738.0,2707.0,1310.0,3054.0,2391.0,2602.0,2568.0,470.0,402.0,1930.0,8985.0,2536.0,1289.0,1204.0,4458.0,723.0,1054.0,2096.0,5647.0,1236.0,3973.0,1707.0,881.0
2012-02-29,876.0,798.0,6298.0,19300.0,2363.0,1853.0,14352.0,3245.0,423.0,406.0,634.0,3959.0,1138.0,106.0,767.0,850.0,2610.0,1387.0,3180.0,2550.0,2960.0,3023.0,482.0,516.0,2232.0,7749.0,2677.0,1580.0,1224.0,4217.0,660.0,1190.0,2364.0,6670.0,1495.0,4331.0,1946.0,843.0
2012-03-31,1059.0,986.0,7768.0,25436.0,3511.0,2919.0,18657.0,4144.0,509.0,605.0,719.0,5408.0,1588.0,112.0,975.0,1111.0,3629.0,1811.0,3977.0,3395.0,3871.0,3974.0,685.0,609.0,2485.0,9186.0,3666.0,1932.0,1664.0,5943.0,891.0,1646.0,3092.0,8978.0,1885.0,5573.0,2576.0,1417.0
2012-04-30,1226.0,1007.0,7626.0,25544.0,4112.0,2934.0,18684.0,4014.0,538.0,672.0,850.0,5891.0,1881.0,132.0,1064.0,1144.0,4130.0,2007.0,4087.0,3728.0,4201.0,4043.0,740.0,609.0,2313.0,9572.0,4140.0,2097.0,1818.0,6263.0,969.0,1616.0,3335.0,9466.0,2022.0,6302.0,2908.0,1645.0
2012-05-31,1358.0,1269.0,7708.0,28837.0,5045.0,3866.0,19263.0,4711.0,585.0,811.0,790.0,7250.0,2177.0,154.0,1244.0,1443.0,5308.0,2263.0,4859.0,4294.0,5113.0,5010.0,1070.0,797.0,2596.0,11861.0,5190.0,2453.0,2127.0,7591.0,1133.0,1944.0,3919.0,11273.0,2280.0,7699.0,3383.0,1986.0
2012-06-30,1431.0,1362.0,7549.0,29183.0,5498.0,4717.0,18733.0,5111.0,607.0,862.0,884.0,8104.0,2381.0,151.0,1306.0,1454.0,6806.0,2650.0,5099.0,4699.0,5158.0,5361.0,1095.0,669.0,2598.0,13535.0,5881.0,2532.0,2491.0,8637.0,1383.0,2005.0,4028.0,11834.0,2294.0,8227.0,3668.0,2397.0
2012-07-31,1327.0,1304.0,6657.0,27658.0,5146.0,4378.0,17220.0,4724.0,632.0,765.0,811.0,7504.0,2174.0,173.0,1310.0,1316.0,6216.0,2201.0,5091.0,4347.0,5018.0,4931.0,1021.0,715.0,2510.0,14091.0,5236.0,2499.0,2240.0,7913.0,1197.0,2028.0,3931.0,11122.0,2214.0,7382.0,3619.0,2124.0
2012-08-31,1465.0,1441.0,6983.0,31613.0,5342.0,4574.0,18313.0,5051.0,722.0,859.0,899.0,7967.0,2333.0,179.0,1458.0,1137.0,6815.0,2406.0,5757.0,4739.0,5114.0,5119.0,1077.0,798.0,2955.0,15177.0,5961.0,2581.0,2604.0,8540.0,1282.0,2167.0,4085.0,11708.0,2467.0,7542.0,3963.0,2092.0
2012-09-30,1242.0,1160.0,5955.0,25167.0,4435.0,3358.0,15162.0,4037.0,590.0,646.0,746.0,6141.0,1928.0,147.0,1208.0,1283.0,4476.0,2144.0,4839.0,3878.0,3932.0,4196.0,863.0,661.0,2608.0,12267.0,4876.0,2191.0,2146.0,6494.0,1107.0,1660.0,3360.0,9023.0,2036.0,5892.0,3221.0,1601.0
2012-10-31,1313.0,1316.0,6717.0,29022.0,4714.0,3485.0,17399.0,4513.0,720.0,732.0,807.0,6915.0,2093.0,162.0,1275.0,1233.0,4880.0,2082.0,5720.0,4367.0,4342.0,4467.0,943.0,714.0,2986.0,12222.0,5004.0,2370.0,2365.0,6724.0,1153.0,1803.0,3571.0,9495.0,2246.0,6281.0,3607.0,1715.0
2012-11-30,1230.0,1247.0,6375.0,26885.0,4184.0,3619.0,16693.0,4250.0,683.0,683.0,736.0,6105.0,1891.0,156.0,1132.0,1167.0,5174.0,2083.0,4967.0,3818.0,3960.0,4213.0,814.0,603.0,2761.0,11024.0,4647.0,2132.0,2033.0,7068.0,1270.0,1658.0,3355.0,8428.0,2013.0,6470.0,3322.0,1371.0
2012-12-31,1235.0,1144.0,6413.0,27838.0,3878.0,3564.0,17879.0,4106.0,784.0,660.0,680.0,5722.0,1791.0,143.0,1075.0,1135.0,4843.0,2020.0,4529.0,3505.0,3761.0,4239.0,780.0,653.0,2915.0,12203.0,4154.0,2061.0,2007.0,6427.0,1190.0,1801.0,3167.0,8588.0,1831.0,5886.0,3238.0,1288.0
2013-01-31,1156.0,1257.0,5659.0,20752.0,3216.0,2673.0,14415.0,3710.0,506.0,512.0,496.0,4952.0,1578.0,149.0,944.0,892.0,3401.0,1648.0,4351.0,2949.0,3082.0,3387.0,575.0,520.0,2251.0,10982.0,3292.0,1738.0,1478.0,5328.0,841.0,1291.0,2606.0,7023.0,1500.0,4926.0,2401.0,1103.0
2013-02-28,1314.0,1375.0,6393.0,21253.0,3468.0,2123.0,15566.0,3706.0,496.0,518.0,600.0,4444.0,1765.0,124.0,931.0,959.0,2846.0,1420.0,3943.0,2894.0,3123.0,3593.0,523.0,595.0,2464.0,9215.0,3299.0,1745.0,1548.0,4685.0,739.0,1321.0,2791.0,7907.0,1533.0,4885.0,2439.0,1066.0
2013-03-31,1767.0,2014.0,8046.0,27752.0,4855.0,3095.0,19997.0,4887.0,628.0,724.0,720.0,5994.0,2194.0,198.0,1186.0,1302.0,3935.0,1913.0,5002.0,3825.0,4374.0,4920.0,852.0,710.0,2732.0,11064.0,4509.0,2342.0,2226.0,6323.0,1004.0,1954.0,3537.0,10928.0,2097.0,6496.0,3523.0,1679.0
2013-04-30,2031.0,2565.0,8553.0,29601.0,5623.0,3752.0,21792.0,5217.0,618.0,794.0,882.0,7341.0,2584.0,244.0,1424.0,1448.0,4754.0,2281.0,5308.0,4265.0,5013.0,5892.0,944.0,782.0,2948.0,12121.0,5219.0,2692.0,2614.0,7466.0,1133.0,2175.0,4302.0,12142.0,2488.0,7648.0,4001.0,2005.0
2013-05-31,2362.0,3426.0,9256.0,32976.0,6959.0,4801.0,22650.0,6227.0,692.0,1056.0,1127.0,9363.0,3187.0,273.0,1673.0,1614.0,6618.0,2797.0,6382.0,5359.0,6204.0,6883.0,1246.0,939.0,3001.0,14944.0,6513.0,2828.0,3203.0,9001.0,1508.0,2606.0,5048.0,14084.0,2942.0,9184.0,4637.0,2572.0
2013-06-30,2198.0,3436.0,8087.0,30861.0,7019.0,5394.0,20494.0,6069.0,725.0,1067.0,1047.0,9825.0,3029.0,271.0,1574.0,1532.0,7791.0,3196.0,6544.0,5445.0,5913.0,6788.0,1311.0,925.0,2960.0,16053.0,6845.0,2921.0,3158.0,9764.0,1634.0,2580.0,5062.0,13400.0,2820.0,9720.0,4677.0,2739.0
2013-07-31,2370.0,3308.0,7949.0,33481.0,7736.0,5766.0,21322.0,6565.0,758.0,1123.0,1150.0,10389.0,3201.0,299.0,1787.0,1570.0,8340.0,2924.0,6983.0,5560.0,6353.0,6811.0,1330.0,977.0,3073.0,18644.0,7147.0,3205.0,3474.0,9926.0,1638.0,2657.0,5316.0,14476.0,2878.0,9400.0,5214.0,2876.0
2013-08-31,2312.0,3444.0,7370.0,33234.0,7059.0,5445.0,20696.0,6329.0,892.0,1091.0,1076.0,10302.0,2947.0,317.0,1734.0,1701.0,7939.0,2819.0,7291.0,6053.0,6139.0,6461.0,1368.0,909.0,2947.0,19284.0,6928.0,3131.0,3305.0,9682.0,1655.0,2814.0,5126.0,14128.0,2742.0,8783.0,4958.0,2675.0
2013-09-30,1957.0,3088.0,6621.0,27929.0,5884.0,4045.0,18086.0,5241.0,740.0,884.0,927.0,8411.0,2351.0,282.0,1544.0,1356.0,6028.0,2291.0,6655.0,4829.0,5034.0,5222.0,1063.0,766.0,2680.0,16549.0,5653.0,2705.0,2793.0,7780.0,1355.0,2356.0,4318.0,11317.0,2317.0,7041.0,4162.0,2057.0
2013-10-31,2030.0,2997.0,6626.0,29122.0,5544.0,4133.0,18161.0,5333.0,715.0,874.0,798.0,8574.0,2347.0,253.0,1373.0,1290.0,5714.0,2294.0,6377.0,4490.0,4782.0,5425.0,1174.0,769.0,2741.0,16405.0,5816.0,2435.0,2737.0,7860.0,1394.0,2195.0,4233.0,10560.0,2267.0,7188.0,4130.0,1893.0
2013-11-30,1684.0,2325.0,5563.0,24807.0,4604.0,3734.0,15740.0,4537.0,719.0,709.0,722.0,6924.0,1979.0,243.0,1302.0,1099.0,5077.0,2049.0,4985.0,3730.0,4082.0,4540.0,896.0,579.0,2298.0,13191.0,5070.0,2142.0,2241.0,6725.0,1211.0,1836.0,3722.0,8907.0,1858.0,5905.0,3361.0,1834.0
2013-12-31,1811.0,2618.0,6376.0,25440.0,4523.0,3914.0,18321.0,4684.0,736.0,696.0,730.0,7206.0,1954.0,194.0,1190.0,1143.0,5196.0,2071.0,4828.0,3390.0,4140.0,4870.0,898.0,651.0,2492.0,14299.0,5000.0,2120.0,2259.0,7112.0,1193.0,2016.0,3767.0,9510.0,1927.0,6529.0,3343.0,1442.0
2014-01-31,1465.0,2128.0,5151.0,19941.0,3324.0,2686.0,14369.0,3773.0,581.0,445.0,568.0,5306.0,1423.0,179.0,888.0,930.0,3591.0,1447.0,3863.0,2729.0,3022.0,3750.0,696.0,555.0,2040.0,11528.0,3810.0,1681.0,1693.0,5108.0,898.0,1497.0,2820.0,7152.0,1495.0,4513.0,2400.0,1108.0
